Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
182, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Amalviškiai, Amalviškių kaimas
183, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Bukta, Buktos kaimas
184, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Dambruvka, Dambruvkos kaimas
185, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Geležiniai, Geležinių kaimas
186, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Gudiškiai, Gudiškių kaimas
187, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Jacentavas, Jacentavo kaimas
188, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Jokūbiškiai, Jokūbiškių kaimas
189, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Karčiuvka, Karčiuvkos kaimas
190, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Kūlingė, Kūlingės kaimas
191, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Kumečiai, Kumečių kaimas
192, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Liūliškis, Liūliškio kaimas
193, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Mačiuliškiai, Mačiuliškių kaimas
194, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Malinava, Malinavos kaimas
195, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Maraziškės, Maraziškių kaimas
196, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Margava, Margavos kaimas
197, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Menčtrakis, Menčtrakio kaimas
198, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Mergašilis, Mergašilio kaimas
199, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Nadpaliai, Nadpalių kaimas
200, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Opšrūtai I, Opšrūtų I kaimas
201, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Padvariškiai, Padvariškių kaimas
202, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Paežerė, Paežerės kaimas
203, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Igliaukos seniūnija, Pamačiuliškiai, Pamačiuliškių kaimas
204, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Armoniškiai, Armoniškių kaimas
205, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Aukštoji Bukta, Aukštosios Buktos kaimas
206, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Avikilai, Avikilų kaimas
207, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Balaikai, Balaikų kaimas
208, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Bevardiškiai, Bevardiškių kaimas
209, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Būdbaliai, Būdbalių kaimas
210, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Dalginė, Dalginės kaimas
211, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Danieliškiai, Danieliškių kaimas
212, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Dviratinė, Dviratinės kaimas
213, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Gudupiai, Gudupių kaimas
214, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Gustaičiai, Gustaičių kaimas
215, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Išlandžiai, Išlandžių kaimas
216, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Kievinė, Kievinės kaimas
217, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Lakinskai, Lakinskų kaimas
218, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Liudvinavo seniūnija, Marčiukinis, Marčiukinio kaimas
219, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Adomiškės, Adomiškių kaimas
220, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Aleksandravas, Aleksandravo kaimas
221, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Bajarskai, Bajarskų kaimas
222, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Bankava, Bankavos kaimas
223, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Bieliūniškiai, Bieliūniškių kaimas
224, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Bukoniai, Bukonių kaimas
225, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Čiuoderiškės, Čiuoderiškių kaimas
226, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Dambava, Dambavos kaimas
227, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Dambrauka, Dambraukos kaimas
228, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Dambuvka, Dambuvkos kaimas
229, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Dybakalnis, Dybakalnio kaimas
230, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Geležiniai, Geležinių kaimas
231, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Grabava, Grabavos kaimas
232, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Gudinė, Gudinės kaimas
233, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kancava, Kancavos kaimas
234, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Karalenkė, Karalenkės kaimas
235, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kermušinė, Kermušinės kaimas
236, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kirmėlinė, Kirmėlinės kaimas
237, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kižiai, Kižių kaimas
238, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Marijampolės seniūnija, Kuktiškiai, Kuktiškių kaimas
239, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Aukštoji, Aukštosios kaimas
240, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Avižinė, Avižinės kaimas
241, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Balemolė, Balemolės kaimas
242, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Barsukinė, Barsukinės kaimas
243, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Bebruliškė, Bebruliškės kaimas
244, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Beržinbūdė, Beržinbūdės kaimas
245, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Bitikai, Bitikų kaimas
246, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Brasta, Brastos kaimas
247, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Čisava, Čisavos kaimas
248, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Čysta Būda, Čystos Būdos kaimas
249, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Čiuiniškė, Čiuiniškės kaimas
250, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Didžioji Trakiškė, Didžiosios Trakiškės kaimas
251, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Gelumbiškiai, Gelumbiškių kaimas
252, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Kantališkiai, Kantališkių kaimas
253, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Kazliškiai, Kazliškių kaimas
254, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Klevinė, Klevinės kaimas
255, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Kleviniai, Klevinių kaimas
256, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Klevinkalnis, Klevinkalnio kaimas
257, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Kuzai, Kuzų kaimas
258, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Lapiškiai, Lapiškių kaimas
259, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Sasnavos seniūnija, Lygumai, Lygumų kaimas
260, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Ašmonai, Ašmonų kaimas
261, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Barsukinė, Barsukinės kaimas
262, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Bliūdžiškiai, Bliūdžiškių kaimas
263, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Cykakalnis, Cykakalnio kaimas
264, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Dielinė, Dielinės kaimas
265, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Domeikai, Domeikų kaimas
266, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Grybinė, Grybinės kaimas
267, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Gustabūdis, Gustabūdžio kaimas
268, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Karužai, Karužų kaimas
269, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Katiliškiai, Katiliškių kaimas
270, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Kazliškiai, Kazliškių kaimas
271, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Lūginė, Lūginės kaimas
272, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Marciniškiai, Marciniškių kaimas
273, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Mokolų Naujiena, Mokolų Naujienos kaimas
274, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Obelinė, Obelinės kaimas
275, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Obšrūtėliai, Obšrūtėlių kaimas
276, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Patašiškės, Patašiškių kaimas
277, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Piliakalniai, Piliakalnių kaimas
278, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Popiliakalnis, Popiliakalnio kaimas
279, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Šunskų seniūnija, Puskepuriai, Puskepurių kaimas
280, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Ambrasai, Ambrasų kaimas
281, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Geruliai, Gerulių kaimas
282, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Gražiškiai, Gražiškių kaimas
283, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Kraujučiai, Kraujučių kaimas
284, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Kriaučiukai, Kriaučiukų kaimas
285, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Liputiškė, Liputiškės kaimas
286, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Liūbiškė, Liūbiškės kaimas
287, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Masiauskai, Masiauskų kaimas
288, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Mergbūdis, Mergbūdžio kaimas
289, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Miknaičiai, Miknaičių kaimas
290, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Mozūrai, Mozūrų kaimas
291, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Opšrūtai, Opšrūtų kaimas
292, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Pabalsupiai, Pabalsupių kaimas
293, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Pavišakiai, Pavišakių kaimas
294, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Pupiai, Pupių kaimas
295, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Sabijonai, Sabijonų kaimas
296, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Simokai, Simokų kaimas
297, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Skirkiškė, Skirkiškės kaimas
298, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Stainiškė, Stainiškės kaimas
299, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Stugučiai, Stugučių kaimas
300, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Žardeliai, Žardelių kaimas
301, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Barzdų seniūnija, Žečkalniai, Žečkalnių kaimas
302, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Bonkiškė, Bonkiškės kaimas
303, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Daugerdiškiai, Daugerdiškių kaimas
304, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Dobilaičiai, Dobilaičių kaimas
305, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Elizava, Elizavos kaimas
306, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Jankūnai, Jankūnų kaimas
307, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Jotyškiai I, Jotyškių I kaimas
308, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Narkūnai, Narkūnų kaimas
309, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Petraičiai, Petraičių kaimas
310, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Stanaičiai, Stanaičių kaimas
311, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Šimkai, Šimkų kaimas
312, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Gelgaudiškio seniūnija, Trakas, Trako kaimas
313, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Antabūdis, Antabūdžio kaimas
314, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Birštonai, Birštonų kaimas
315, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Gailynai, Gailynų kaimas
316, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Galiniai, Galinių kaimas
317, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Girinė Kubiliškė, Girinės Kubiliškės kaimas
318, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Karčrūdė, Karčrūdės kaimas
319, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Kermuškalnis, Kermuškalnio viensėdis
320, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Laukinė Kubiliškė, Laukinės Kubiliškės kaimas
321, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Leliokiškė, Leliokiškės kaimas
322, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Lypkai, Lypkų kaimas
323, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Margauskai, Margauskų kaimas
324, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Mažiškė, Mažiškės kaimas
325, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Meškiniai, Meškinių kaimas
326, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Mickai, Mickų kaimas
327, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Mureikai, Mureikų kaimas
328, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Panenupiai, Panenupių kaimas
329, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Paplyniai, Paplynių kaimas
330, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Patamošupiai, Patamošupių kaimas
331, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Griškabūdžio seniūnija, Pavaitupiai, Pavaitupių kaimas
332, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Bagdžiai, Bagdžių kaimas
333, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Berckiai, Berckių kaimas
334, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Bunikėliai, Bunikėlių kaimas
335, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Burbiškiai, Burbiškių kaimas
336, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Čiūriškiai, Čiūriškių kaimas
337, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Dagiliai, Dagilių kaimas
338, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Degėsiai, Degėsių kaimas
339, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Gečiai, Gečių kaimas
340, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Gudlaukis, Gudlaukio kaimas
341, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Jakaičiai, Jakaičių kaimas
342, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Kidulių seniūnija, Jokeliškiai, Jokeliškių kaimas
