Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
155, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Subačiškės, Subačiškių kaimas
156, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Šarabūdė, Šarabūdės kaimas
157, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Šimėkai, Šimėkų kaimas
158, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Šinkaviškis, Šinkaviškio kaimas
159, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Tabariškės, Tabariškių kaimas
160, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Vasiliaučiškės, Vasiliaučiškių kaimas
161, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Žalioji, Žaliosios kaimas
162, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Bauboniškiai, Bauboniškių kaimas
163, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Beržynas, Beržyno kaimas
164, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Gelčiai, Gelčių kaimas
165, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Gražiškiai, Gražiškių kaimas
166, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Gudeliai, Gudelių kaimas
167, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Kalnynai, Kalnynų kaimas
168, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Kampiniai, Kampinių kaimas
169, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Kruopinė, Kruopinės kaimas
170, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Leiciškiai, Leiciškių kaimas
171, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Makrickai, Makrickų kaimas
172, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Naujiena, Naujienos kaimas
173, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Navikai, Navikų kaimas
174, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Pupojai, Pupojų kaimas
175, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Pušiniai, Pušinių kaimas
176, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Rudėnai, Rudėnų kaimas
177, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Skęsbaliai, Skęsbalių kaimas
178, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Struogiškės, Struogiškių kaimas
179, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Šernai, Šernų kaimas
180, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Šlavanta, Šlavantos kaimas
181, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Marijampolės savivaldybė, Gudelių seniūnija, Vazniškiai, Vazniškių kaimas
